cat1,cat2,cat3,대분류,중분류,소분류,,,
A01,A0101,A01010100,자연,자연관광지,국립공원,,,
A01,A0101,A01010200,자연,자연관광지,도립공원,,,
A01,A0101,A01010300,자연,자연관광지,군립공원,,,
A01,A0101,A01010400,자연,자연관광지,산,,,
A01,A0101,A01010500,자연,자연관광지,자연생태관광지,,,
A01,A0101,A01010600,자연,자연관광지,자연휴양림,,,
A01,A0101,A01010700,자연,자연관광지,수목원,,,
A01,A0101,A01010800,자연,자연관광지,폭포,,,
A01,A0101,A01010900,자연,자연관광지,계곡,,,
A01,A0101,A01011000,자연,자연관광지,약수터,,,
A01,A0101,A01011100,자연,자연관광지,해안절경,,,
A01,A0101,A01011200,자연,자연관광지,해수욕장,,,
A01,A0101,A01011300,자연,자연관광지,섬,,,
A01,A0101,A01011400,자연,자연관광지,항구/포구,,,
A01,A0101,A01011500,자연,자연관광지,어촌,,,
A01,A0101,A01011600,자연,자연관광지,등대,,,
A01,A0101,A01011700,자연,자연관광지,호수,,,
A01,A0101,A01011800,자연,자연관광지,강,,,
A01,A0101,A01011900,자연,자연관광지,동굴,,,
A01,A0102,A01020100,자연,관광자원,희귀동.식물,,,
A01,A0102,A01020200,자연,관광자원,기암괴석,,,
A02,A0201,A02010100,인문(문화/예술/역사),역사관광지,고궁,,,
A02,A0201,A02010200,인문(문화/예술/역사),역사관광지,성,,,
A02,A0201,A02010300,인문(문화/예술/역사),역사관광지,문,,,
A02,A0201,A02010400,인문(문화/예술/역사),역사관광지,고택,,,
A02,A0201,A02010500,인문(문화/예술/역사),역사관광지,생가,,,
A02,A0201,A02010600,인문(문화/예술/역사),역사관광지,민속마을,,,
A02,A0201,A02010700,인문(문화/예술/역사),역사관광지,유적지/사적지,,,
A02,A0201,A02010800,인문(문화/예술/역사),역사관광지,사찰,,,
A02,A0201,A02010900,인문(문화/예술/역사),역사관광지,종교성지,,,
A02,A0201,A02011000,인문(문화/예술/역사),역사관광지,안보관광,,,
A02,A0202,A02020100,인문(문화/예술/역사),휴양관광지,유원지,,,
A02,A0202,A02020200,인문(문화/예술/역사),휴양관광지,관광단지,,,
A02,A0202,A02020300,인문(문화/예술/역사),휴양관광지,온천/욕장/스파,,,
A02,A0202,A02020400,인문(문화/예술/역사),휴양관광지,이색찜질방,,,
A02,A0202,A02020500,인문(문화/예술/역사),휴양관광지,헬스투어,,,
A02,A0202,A02020600,인문(문화/예술/역사),휴양관광지,테마공원,,,
A02,A0202,A02020700,인문(문화/예술/역사),휴양관광지,공원,,,
A02,A0202,A02020800,인문(문화/예술/역사),휴양관광지,유람선/잠수함관광,,,
A02,A0203,A02030100,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,,,
A02,A0203,A02030200,인문(문화/예술/역사),체험관광지,전통체험,,,
A02,A0203,A02030300,인문(문화/예술/역사),체험관광지,산사체험,,,
A02,A0203,A02030400,인문(문화/예술/역사),체험관광지,이색체험,,,
A02,A0203,A02030500,인문(문화/예술/역사),체험관광지,관광농원,,,
A02,A0203,A02030600,인문(문화/예술/역사),체험관광지,이색거리,,,
A02,A0204,A02040100,인문(문화/예술/역사),산업관광지,제철소,,,
A02,A0204,A02040200,인문(문화/예술/역사),산업관광지,조선소,,,
A02,A0204,A02040300,인문(문화/예술/역사),산업관광지,공단,,,
A02,A0204,A02040400,인문(문화/예술/역사),산업관광지,발전소,,,
A02,A0204,A02040500,인문(문화/예술/역사),산업관광지,광산,,,
A02,A0204,A02040600,인문(문화/예술/역사),산업관광지,식음료,,,
A02,A0204,A02040700,인문(문화/예술/역사),산업관광지,화학/금속,,,
A02,A0204,A02040800,인문(문화/예술/역사),산업관광지,기타,,,
